Nama Siswa,Kelas,Tahun Ajaran,Jumlah Kehadiran,Kategori Kehadiran,Nilai Rata-rata,Kategori Nilai,Jumlah Pelanggaran,Kategori Pelanggaran,Pekerjaan Orang Tua,Penghasilan Orang Tua,Status SPP,Status Orang Tua,Risiko Drop-Out
Salimah Aryani,9C,2025/2026,227,Sangat Baik,66.9,Rendah,1,Ringan,Karyawan Swasta,< Rp 2.000.000,Lancar,Piatu,Sedang
Puti Padma Adriansyah,8C,2023/2024,194,Kurang,75.2,Sedang,2,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Tania Iswahyudi,8A,2024/2025,224,Sangat Baik,85.8,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Rendah
Galih Lailasari,9C,2023/2024,225,Sangat Baik,87.9,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Ella Nainggolan,7C,2025/2026,209,Baik,97.9,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Banawa Melani,9A,2025/2026,188,Kurang,76.4,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Eva Uyainah,7B,2023/2024,212,Baik,75.6,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Piatu,Sedang
Elvina Narpati,7B,2024/2025,230,Sangat Baik,84.2,Sedang,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Tirta Wahyudin,9B,2023/2024,222,Sangat Baik,73.6,Rendah,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Tri Anggraini,7B,2025/2026,194,Kurang,88.6,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Iriana Prabowo,9A,2024/2025,233,Sangat Baik,77.5,Sedang,2,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Sabar Melani,9B,2023/2024,204,Baik,85.0,Tinggi,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Dian Dongoran,7C,2023/2024,193,Kurang,78.0,Sedang,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Sedang
Azalea Susanti,8C,2023/2024,236,Sangat Baik,75.5,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Danuja Suartini,8B,2023/2024,226,Sangat Baik,83.9,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Piatu,Rendah
Yuni Megantara,7C,2024/2025,211,Baik,94.5,Tinggi,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Ratna Prabowo,8C,2025/2026,188,Kurang,69.4,Rendah,0,Tidak Ada,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Tinggi
Latika Kusumo,9B,2024/2025,205,Baik,95.0,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Dian Wijayanti,7B,2024/2025,234,Sangat Baik,94.4,Tinggi,1,Ringan,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Mutia Firmansyah,8B,2024/2025,226,Sangat Baik,66.2,Rendah,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Dipa Yuniar,8C,2024/2025,215,Baik,86.2,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Jumadi Anggriawan,7C,2024/2025,194,Kurang,90.9,Tinggi,2,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Rusman Tamba,9A,2023/2024,221,Sangat Baik,80.4,Sedang,2,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Ikin Pranowo,8B,2025/2026,221,Sangat Baik,77.8,Sedang,3,Sedang/Berat,PNS/TNI/Polri,< Rp 2.000.000,Menunggak >2 Bulan,Yatim,Sedang
Cawisadi Wasita,9C,2025/2026,194,Kurang,73.5,Rendah,3,Sedang/Berat,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Samiah Rajata,9B,2025/2026,181,Kurang,85.3,Tinggi,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Cahyanto Hidayanto,9C,2024/2025,193,Kurang,75.1,Sedang,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Paramita Fujiati,8C,2025/2026,231,Sangat Baik,67.3,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ismail Mulyani,7A,2024/2025,193,Kurang,80.7,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Tira Purnawati,9A,2023/2024,218,Baik,68.7,Rendah,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Safina Oktaviani,9C,2023/2024,227,Sangat Baik,72.3,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Jais Pratama,7B,2024/2025,224,Sangat Baik,92.0,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Paulin Nurdiyanti,9A,2025/2026,190,Kurang,89.6,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Eva Widodo,9A,2025/2026,236,Sangat Baik,80.2,Sedang,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Eli Winarno,9C,2023/2024,207,Baik,68.4,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Yatim,Sedang
Karimah Maulana,8B,2025/2026,223,Sangat Baik,94.5,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Rizki Lazuardi,7B,2025/2026,185,Kurang,85.3,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Clara Megantara,7A,2023/2024,189,Kurang,68.1,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Reza Mahendra,8C,2024/2025,190,Kurang,73.3,Rendah,1,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Yance Halimah,9A,2023/2024,240,Sangat Baik,86.7,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Nurul Nasyidah,8B,2024/2025,182,Kurang,87.3,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Rika Dongoran,9A,2024/2025,203,Baik,77.5,Sedang,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Cinthia Firgantoro,8A,2025/2026,225,Sangat Baik,75.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Diah Wacana,9A,2024/2025,227,Sangat Baik,68.1,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Sedang
Kardi Hastuti,9C,2023/2024,220,Sangat Baik,79.6,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Vanya Waluyo,8C,2023/2024,183,Kurang,87.3,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Shakila Hutapea,8C,2025/2026,199,Kurang,88.9,Tinggi,1,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Gangsar Najmudin,7B,2023/2024,236,Sangat Baik,81.2,Sedang,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Estiono Nurdiyanti,9A,2023/2024,195,Kurang,66.2,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Piatu,Tinggi
Lukita Sihotang,8A,2023/2024,206,Baik,82.0,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Mustofa Hakim,8C,2025/2026,215,Baik,73.7,Rendah,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Dasa Usamah,8B,2025/2026,185,Kurang,88.9,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Dewi Lailasari,8A,2023/2024,183,Kurang,67.4,Rendah,0,Tidak Ada,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Putri Wacana,7B,2025/2026,192,Kurang,87.1,Tinggi,1,Ringan,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Gading Rahmawati,8A,2023/2024,219,Baik,71.6,Rendah,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Gangsar Budiyanto,8C,2024/2025,240,Sangat Baik,93.6,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Bakidin Purnawati,7B,2024/2025,186,Kurang,78.2,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Dalimin Simanjuntak,7B,2023/2024,227,Sangat Baik,88.9,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Titin Gunarto,7A,2023/2024,219,Baik,90.7,Tinggi,10,Sedang/Berat,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Intan Yuniar,8A,2025/2026,217,Baik,87.0,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Bagas Yuliarti,7A,2024/2025,230,Sangat Baik,91.8,Tinggi,3,Sedang/Berat,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Tira Latupono,9B,2023/2024,199,Kurang,77.5,Sedang,0,Tidak Ada,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Sutan Lamar Tarihoran,8C,2023/2024,199,Kurang,90.9,Tinggi,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Shakila Usamah,8C,2023/2024,232,Sangat Baik,96.3,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Azalea Latupono,7A,2023/2024,205,Baik,69.7,Rendah,1,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Titin Halimah,7C,2023/2024,233,Sangat Baik,70.9,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Joko Safitri,8A,2023/2024,237,Sangat Baik,79.1,Sedang,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Salimah Halim,9C,2023/2024,216,Baik,95.4,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Yatim,Rendah
Karma Hassanah,7C,2025/2026,210,Baik,94.4,Tinggi,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Puji Laksita,7B,2023/2024,208,Baik,68.8,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Kani Widiastuti,8A,2024/2025,211,Baik,69.5,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Piatu,Sedang
Qori Suartini,8B,2025/2026,183,Kurang,92.4,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Azalea Prasetyo,9B,2024/2025,185,Kurang,73.0,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Yessi Utami,9B,2023/2024,219,Baik,82.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Syahrini Hutasoit,7C,2024/2025,205,Baik,83.9,Sedang,5,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Patricia Siregar,9A,2024/2025,207,Baik,84.4,Sedang,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Hendri Maheswara,9A,2023/2024,235,Sangat Baik,68.7,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Devi Napitupulu,8A,2025/2026,231,Sangat Baik,96.1,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Piatu,Rendah
Juli Nasyiah,9B,2023/2024,205,Baik,85.9,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Sadina Siregar,8B,2024/2025,231,Sangat Baik,75.4,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Jumadi Anggraini,7A,2023/2024,210,Baik,69.4,Rendah,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Jumari Nababan,7B,2023/2024,237,Sangat Baik,75.6,Sedang,3,Sedang/Berat,PNS/TNI/Polri,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Dina Farida,8C,2025/2026,198,Kurang,79.7,Sedang,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Pangeran Hutasoit,7A,2025/2026,217,Baik,82.1,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Ana Marpaung,9B,2023/2024,206,Baik,84.7,Sedang,2,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Sedang
Elma Hartati,8C,2023/2024,211,Baik,81.2,Sedang,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Faizah Winarno,7C,2025/2026,214,Baik,91.6,Tinggi,3,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Kacung Widodo,8B,2023/2024,225,Sangat Baik,77.7,Sedang,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Wawan Damanik,7A,2025/2026,210,Baik,76.0,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Sedang
Kawaca Mulyani,8B,2025/2026,202,Baik,68.3,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Sedang
Virman Agustina,8A,2025/2026,227,Sangat Baik,73.4,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Sedang
Muhammad Yuniar,7B,2023/2024,202,Baik,91.6,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Nardi Prastuti,8A,2025/2026,191,Kurang,92.5,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ami Tampubolon,9B,2023/2024,234,Sangat Baik,80.2,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Ade Pudjiastuti,7A,2025/2026,207,Baik,94.5,Tinggi,2,Ringan,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Tirta Haryanto,7B,2024/2025,193,Kurang,82.6,Sedang,1,Ringan,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Devi Manullang,7B,2023/2024,233,Sangat Baik,71.4,Rendah,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Lancar,Lengkap,Sedang
Puti Yance Zulaika,8C,2024/2025,238,Sangat Baik,75.2,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Radika Marpaung,7B,2025/2026,184,Kurang,78.2,Sedang,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Piatu,Sedang
Tasdik Saputra,7A,2025/2026,209,Baik,83.1,Sedang,3,Sedang/Berat,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Jessica Wijayanti,9A,2025/2026,207,Baik,72.3,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Gandi Namaga,7C,2023/2024,229,Sangat Baik,93.1,Tinggi,2,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Pardi Setiawan,9B,2024/2025,201,Baik,78.2,Sedang,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Sutan Saiful Handayani,8B,2024/2025,232,Sangat Baik,95.6,Tinggi,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Piatu,Rendah
Gambira Rahayu,7A,2025/2026,238,Sangat Baik,85.0,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Zamira Hakim,8B,2023/2024,239,Sangat Baik,78.5,Sedang,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Kusuma Nurdiyanti,8C,2025/2026,204,Baik,94.8,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Siti Jailani,8C,2024/2025,186,Kurang,78.7,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Maimunah Kusmawati,7A,2023/2024,188,Kurang,97.5,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Asmadi Hardiansyah,7B,2024/2025,231,Sangat Baik,95.5,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Cengkal Purnawati,7A,2025/2026,200,Baik,76.0,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Eka Halimah,8B,2023/2024,221,Sangat Baik,78.6,Sedang,2,Ringan,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ciaobella Mayasari,7A,2024/2025,223,Sangat Baik,94.8,Tinggi,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Hasna Napitupulu,8A,2025/2026,237,Sangat Baik,96.0,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Tiara Pangestu,8B,2024/2025,195,Kurang,65.8,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Darmana Zulaika,7C,2025/2026,220,Sangat Baik,97.6,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Piatu,Rendah
Jasmin Budiyanto,9C,2025/2026,226,Sangat Baik,80.9,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Rini Sinaga,8B,2024/2025,226,Sangat Baik,84.0,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Putri Hassanah,9C,2025/2026,185,Kurang,84.4,Sedang,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Yuliana Winarno,9A,2025/2026,222,Sangat Baik,67.2,Rendah,2,Ringan,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Adikara Yulianti,8A,2024/2025,216,Baik,68.9,Rendah,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Rahayu Kuswandari,9B,2023/2024,181,Kurang,96.1,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Gasti Zulaika,9C,2024/2025,202,Baik,80.9,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Dalima Hastuti,7C,2025/2026,220,Sangat Baik,93.4,Tinggi,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Bagya Usada,7C,2024/2025,195,Kurang,75.4,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Sedang
Ajiman Natsir,7B,2024/2025,216,Baik,77.2,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Tina Lazuardi,8A,2024/2025,180,Kurang,67.0,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Eman Hakim,7B,2024/2025,186,Kurang,94.2,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Dina Rajasa,9A,2025/2026,199,Kurang,98.2,Tinggi,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Prasetya Kusumo,7A,2023/2024,220,Sangat Baik,71.7,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Sedang
Dagel Wastuti,9B,2024/2025,231,Sangat Baik,91.4,Tinggi,2,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Rahmi Prayoga,7B,2023/2024,238,Sangat Baik,91.4,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Piatu,Rendah
Irsad Wulandari,9A,2023/2024,215,Baik,68.9,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Hafshah Purwanti,7A,2023/2024,218,Baik,65.4,Rendah,1,Ringan,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Cengkir Pranowo,9B,2024/2025,211,Baik,94.6,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Harimurti Pradana,7B,2025/2026,217,Baik,85.6,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Warsita Uyainah,8B,2024/2025,217,Baik,70.2,Rendah,0,Tidak Ada,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Gawati Rajata,7B,2025/2026,219,Baik,88.4,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Padma Astuti,9C,2023/2024,183,Kurang,85.0,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Syahrini Najmudin,7B,2025/2026,230,Sangat Baik,75.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Lintang Thamrin,7A,2024/2025,187,Kurang,66.6,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Galih Namaga,8A,2023/2024,221,Sangat Baik,72.3,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Niyaga Wijayanti,8C,2025/2026,227,Sangat Baik,77.4,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Umi Samosir,8A,2025/2026,205,Baik,88.5,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Yuliana Mustofa,7A,2024/2025,182,Kurang,88.9,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Sedang
Nilam Uwais,7C,2023/2024,226,Sangat Baik,79.2,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Narji Melani,7B,2023/2024,181,Kurang,71.3,Rendah,2,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Darsirah Saragih,8B,2023/2024,204,Baik,95.6,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Victoria Utami,8B,2024/2025,205,Baik,69.3,Rendah,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Himawan Hasanah,9C,2025/2026,210,Baik,93.1,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Aurora Pranowo,9C,2025/2026,192,Kurang,75.7,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Yatim,Sedang
Narji Yolanda,8B,2024/2025,229,Sangat Baik,87.0,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Rina Safitri,7B,2025/2026,187,Kurang,92.7,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
